,carat,cut,clarity,depth,table,x,y,z,price,color
46,0.43,4,5,62.5,58.0,4.85,4.78,3.01,1129,5
47,0.52,5,6,61.7,55.0,5.21,5.23,3.22,2338,4
48,0.73,3,2,62.1,58.0,5.75,5.81,3.59,2395,6
49,0.52,5,4,61.8,55.0,5.16,5.19,3.2,1822,7
50,0.5,4,2,58.0,62.0,5.21,5.18,3.01,1031,5
51,1.14,4,4,61.4,60.0,6.71,6.68,4.11,7079,4
52,0.78,4,3,62.4,58.0,5.83,5.8,3.63,2777,5
53,0.43,5,5,62.3,56.0,4.82,4.85,3.01,943,4
54,0.91,3,2,62.9,54.0,6.14,6.22,3.89,3615,4
55,1.02,3,5,62.4,58.0,6.42,6.47,4.02,7587,5
56,0.52,2,3,63.7,54.0,5.12,5.15,3.27,1388,6
57,1.21,5,7,61.6,55.0,6.88,6.8,4.21,7086,1
58,0.5,2,4,64.9,59.0,4.89,4.94,3.19,1389,6
59,1.01,4,6,61.7,59.0,6.44,6.37,3.95,7466,4
60,0.51,5,6,62.6,57.0,5.13,5.1,3.2,2203,5
61,0.27,4,5,61.5,58.0,4.22,4.17,2.58,603,6
62,1.8,3,3,62.2,57.0,7.81,7.89,4.88,17273,6
63,0.3,5,5,61.9,55.0,4.28,4.3,2.66,673,5
64,1.13,4,3,60.9,59.0,6.79,6.7,4.11,5050,3
65,0.38,4,4,61.7,59.0,4.64,4.6,2.85,812,1
66,0.54,4,3,59.7,59.0,5.36,5.3,3.18,1369,5
67,0.3,2,3,63.2,55.0,4.25,4.29,2.7,405,1
68,0.51,5,2,59.8,55.0,5.23,5.17,3.11,1359,7
69,0.32,4,3,62.2,59.0,4.37,4.41,2.73,365,2
70,0.57,5,7,61.1,55.0,5.36,5.44,3.3,3057,5
71,0.44,5,6,60.8,56.0,4.9,4.93,2.99,912,1
72,0.52,5,4,62.5,56.0,5.12,5.16,3.21,1629,5
73,0.7,4,5,58.4,59.0,5.91,5.83,3.43,2854,6
74,0.57,3,2,59.4,58.0,5.39,5.42,3.21,1214,4
75,1.22,5,4,62.0,57.0,6.88,6.83,4.25,8062,4
76,0.59,5,3,62.0,55.0,5.37,5.4,3.34,1664,6
77,0.51,5,4,62.0,56.0,5.11,5.18,3.19,1343,4
78,1.2,4,3,62.2,58.0,6.8,6.7,4.2,5154,4
79,2.16,4,2,62.3,57.0,8.29,8.22,5.14,11473,3
80,0.31,3,5,60.5,57.0,4.39,4.42,2.67,640,4
81,0.4,5,6,61.4,55.7,4.72,4.77,2.92,905,3
82,1.68,5,4,62.1,57.0,7.6,7.54,4.7,10800,1
83,0.9,3,2,63.5,58.0,6.08,6.17,3.89,3918,7
84,0.43,3,4,62.2,58.0,4.81,4.87,3.01,869,6
85,0.76,5,4,61.9,55.0,5.85,5.88,3.64,3016,3
86,0.74,5,2,59.3,59.0,5.92,5.97,3.52,2501,6
87,1.26,5,4,63.2,57.0,6.86,6.81,4.32,5306,2
88,0.41,3,6,63.1,56.0,4.75,4.72,2.99,1061,1
89,0.3,5,7,61.8,55.0,4.34,4.37,2.69,665,3
90,0.5,5,6,62.3,57.0,5.06,5.08,3.16,1850,5
91,0.54,5,3,62.1,56.0,5.24,5.19,3.24,1637,6
92,0.4,3,6,59.4,61.0,4.77,4.82,2.85,977,7
93,1.51,3,3,61.7,61.0,7.3,7.35,4.52,9218,3
94,0.5,3,6,60.9,59.0,5.07,5.11,3.1,2003,6
95,0.33,5,5,60.9,57.0,4.47,4.5,2.73,850,6
96,0.9,5,7,61.6,57.0,6.24,6.16,3.82,5564,4
97,0.72,3,3,63.2,57.0,5.71,5.75,3.62,2345,1
98,0.51,5,4,61.8,55.0,5.15,5.18,3.19,1557,4
99,0.5,2,3,63.9,57.0,5.02,5.06,3.22,1197,4
100,1.02,1,3,66.8,55.0,6.25,6.18,4.15,3027,2
101,0.7,1,3,65.2,58.0,5.57,5.54,3.62,2318,6
102,1.69,5,4,62.2,57.0,7.59,7.66,4.74,16789,5
103,1.3,4,7,60.5,60.0,7.01,7.05,4.25,11061,4
104,0.31,5,5,61.1,55.0,4.37,4.4,2.68,774,7
105,1.22,5,5,60.7,57.0,6.93,6.94,4.21,9002,4
106,1.0,4,6,60.6,54.0,6.56,6.52,3.96,8924,5
107,0.28,3,3,62.0,55.0,4.2,4.25,2.62,382,4
108,1.01,2,3,64.3,59.0,6.31,6.34,4.07,4766,6
109,0.41,3,6,62.0,56.0,4.77,4.81,2.97,873,3
110,0.55,3,3,59.7,60.0,5.31,5.41,3.2,1559,6
111,1.39,4,4,62.0,56.0,7.18,7.14,4.44,8874,4
112,0.36,3,2,61.2,55.0,4.59,4.62,2.81,475,3
113,0.23,3,6,60.0,56.0,4.03,4.07,2.43,530,6
114,1.37,4,4,61.6,59.0,7.11,7.04,4.36,7951,4
115,0.31,5,7,60.2,61.0,4.4,4.43,2.66,865,6
116,0.81,4,3,61.9,59.0,5.97,5.95,3.69,3043,5
117,1.0,4,3,58.5,59.0,6.4,6.36,4.0,5292,5
118,0.31,5,7,61.2,56.0,4.38,4.34,2.67,1046,4
119,2.02,3,2,62.4,55.0,8.05,8.11,5.04,11757,2
120,0.34,5,8,61.7,56.0,4.5,4.51,2.78,863,3
121,0.3,5,7,61.3,56.0,4.3,4.34,2.65,789,4
122,1.68,4,3,60.7,62.0,7.72,7.66,4.67,12681,5
123,0.77,5,2,60.7,55.0,6.01,5.95,3.63,2834,6
124,2.8,4,2,61.1,59.0,9.03,8.98,5.5,15030,1
125,0.9,4,4,61.2,62.0,6.19,6.13,3.77,3338,1
126,0.76,3,3,63.0,59.0,5.76,5.8,3.64,2668,6
127,0.55,4,2,60.3,58.0,5.35,5.33,3.22,1186,4
128,0.31,1,6,65.5,58.0,4.25,4.24,2.78,629,4
129,0.4,4,2,60.4,59.0,4.8,4.83,2.91,666,7
130,1.56,4,4,61.9,58.0,7.44,7.4,4.59,13299,4
131,0.3,5,6,62.7,57.0,4.26,4.29,2.68,684,4
132,0.31,5,5,61.8,56.0,4.34,4.33,2.68,942,6
133,0.31,5,7,61.3,56.0,4.38,4.4,2.69,1105,6
134,0.3,5,5,61.6,55.0,4.27,4.3,2.64,526,3
135,2.2,5,2,59.9,57.0,8.54,8.49,5.1,14691,4
136,0.73,3,5,62.1,60.0,5.71,5.79,3.57,3353,6
137,0.9,2,4,61.5,61.0,6.15,6.24,3.81,4156,3
138,0.75,5,4,62.1,57.0,5.8,5.82,3.61,3081,5
139,0.5,3,3,60.3,59.0,5.11,5.14,3.09,1415,7
140,0.4,5,4,61.4,57.0,4.78,4.75,2.92,1150,6
141,0.41,5,6,62.3,57.0,4.76,4.74,2.96,1356,7
142,0.41,4,5,62.3,59.0,4.74,4.76,2.96,1079,6
143,0.36,4,3,61.3,60.0,4.59,4.52,2.79,541,2
144,1.71,5,5,63.0,56.0,7.65,7.58,4.8,17009,4
145,1.02,4,3,60.3,59.0,6.5,6.44,3.9,4558,3
146,0.59,3,3,61.7,57.0,5.39,5.43,3.34,1412,5
147,0.9,3,4,63.0,62.0,6.06,6.13,3.84,4668,7
148,1.11,4,2,62.3,61.0,6.66,6.61,4.09,4177,6
149,0.9,3,3,62.5,62.0,6.08,6.11,3.81,3950,5
150,0.92,3,5,60.9,61.0,6.22,6.25,3.8,5453,6
151,1.45,3,4,62.8,57.0,7.14,7.17,4.49,6671,2
152,1.16,5,4,61.5,57.0,6.78,6.75,4.16,5302,1
153,1.01,4,2,61.6,56.0,6.45,6.4,3.96,4751,6
154,0.7,5,6,60.9,59.0,5.69,5.73,3.48,3737,7
155,0.32,5,8,61.4,55.0,4.42,4.44,2.72,898,4
156,0.91,3,2,60.0,57.0,6.27,6.32,3.78,3531,4
157,0.58,5,2,62.7,56.0,5.32,5.3,3.33,1442,7
158,0.51,5,3,62.4,55.0,5.14,5.09,3.19,1443,6
159,0.31,5,4,62.6,57.0,4.27,4.33,2.69,625,5
160,0.97,5,2,62.7,57.0,6.31,6.28,3.95,4101,4
161,1.03,5,2,62.4,56.0,6.44,6.48,4.03,4054,2
162,0.3,2,6,59.8,64.0,4.34,4.29,2.58,814,6
163,1.0,3,4,61.9,55.0,6.39,6.44,3.99,6340,5
164,0.5,3,5,63.9,55.0,4.98,5.03,3.2,1604,6
165,0.59,5,7,61.2,56.0,5.42,5.46,3.33,2049,1
166,0.26,3,4,60.4,58.0,4.15,4.19,2.52,452,6
167,1.0,2,5,64.0,58.0,6.27,6.21,3.99,6250,7
168,0.9,3,3,61.0,63.0,6.13,6.1,3.73,4304,7
169,0.31,5,3,62.0,55.0,4.36,4.38,2.71,571,7
170,1.53,3,3,58.5,59.0,7.55,7.62,4.44,11713,5
171,0.81,5,3,61.9,57.0,5.98,6.01,3.71,2977,5
172,0.32,3,4,61.4,58.0,4.37,4.42,2.7,556,5
173,0.7,3,3,60.3,57.0,5.73,5.77,3.47,2343,5
174,1.0,1,4,68.3,58.0,5.98,5.95,4.08,4312,5
175,0.34,3,5,60.4,61.0,4.48,4.53,2.72,686,4
176,0.71,5,3,62.5,57.0,5.72,5.64,3.55,2215,4
177,0.5,1,3,66.5,58.0,4.87,4.9,3.25,1098,6
178,0.32,5,6,62.0,54.0,4.41,4.43,2.74,790,6
179,1.63,5,3,61.3,56.0,7.64,7.56,4.66,9694,1
180,0.96,5,5,61.2,56.0,6.34,6.38,3.89,5767,5
181,1.24,4,2,61.2,57.0,7.02,6.87,4.25,5694,3
182,0.51,3,5,62.3,57.0,5.1,5.12,3.18,1628,3
183,0.4,2,4,63.1,62.0,4.75,4.66,2.97,717,3
184,1.21,3,3,63.3,60.0,6.76,6.69,4.26,4404,1
185,0.43,5,3,58.3,56.0,4.82,4.79,3.01,975,6
186,0.72,5,3,61.7,55.0,5.74,5.77,3.55,2470,5
187,0.75,3,3,63.7,56.0,5.73,5.77,3.66,2300,1
188,0.42,5,6,60.6,56.0,4.86,4.88,2.95,933,4
189,0.9,5,3,61.7,57.0,6.21,6.24,3.84,4940,6
190,0.32,5,4,61.7,54.0,4.38,4.43,2.72,758,7
191,0.39,4,4,62.5,60.0,4.64,4.67,2.91,889,6
192,1.01,3,2,63.2,58.0,6.34,6.31,4.0,3309,1
193,0.61,5,6,61.7,55.0,5.45,5.48,3.37,2833,5
194,0.54,5,6,61.8,55.0,5.27,5.25,3.25,2333,5
195,0.71,5,4,62.0,55.0,5.72,5.77,3.56,3421,6
196,1.01,3,5,58.8,58.0,6.52,6.61,3.86,6777,4
197,0.24,5,6,61.6,54.0,4.0,4.09,2.49,552,5
198,0.24,5,7,61.8,55.0,4.0,4.03,2.48,678,5
199,0.58,4,4,62.2,55.0,5.4,5.31,3.33,1586,5
200,1.01,2,2,63.7,55.0,6.38,6.31,4.05,4118,6
201,0.9,3,3,63.6,57.0,6.07,6.1,3.87,3225,2
202,0.72,5,2,61.5,55.0,5.79,5.82,3.57,2420,4
203,0.7,3,4,63.1,55.0,5.64,5.61,3.55,2657,4
204,2.01,4,2,59.4,58.0,8.19,8.15,4.85,15562,4
205,0.51,3,4,62.4,62.0,5.07,5.09,3.17,1438,4
206,1.2,4,4,62.2,59.0,6.82,6.78,4.23,8602,6
207,1.24,5,4,62.0,57.0,6.87,6.84,4.25,9188,4
208,1.26,3,3,63.2,61.0,6.87,6.81,4.32,7000,4
209,0.33,5,4,61.3,56.0,4.43,4.47,2.73,666,5
210,0.58,5,3,61.6,55.0,5.33,5.38,3.3,1636,6
211,0.41,5,5,61.9,57.0,4.81,4.76,2.96,961,4
212,1.19,5,6,60.8,59.0,6.84,6.81,4.15,9524,4
213,0.9,3,2,61.1,55.0,6.21,6.26,3.81,3445,4
214,1.52,4,3,61.9,58.0,7.42,7.37,4.58,8631,1
215,1.5,3,5,60.5,55.0,7.39,7.48,4.5,15585,5
216,1.22,5,3,62.3,58.0,6.8,6.82,4.24,6398,1
217,0.3,3,8,62.9,58.0,4.21,4.25,2.66,895,4
218,1.0,3,5,63.0,56.0,6.39,6.41,4.03,7453,6
219,0.24,3,6,61.4,57.0,4.02,4.04,2.47,449,3
220,1.01,3,4,63.4,60.0,6.37,6.31,4.02,6787,6
221,1.7,5,2,60.5,57.0,7.74,7.84,4.71,8505,2
222,0.55,4,4,61.4,57.0,5.29,5.27,3.24,1881,6
223,0.34,3,3,60.3,57.0,4.53,4.56,2.74,596,6
224,0.44,5,7,61.0,57.0,4.91,4.93,3.0,2290,7
225,0.79,5,3,61.1,57.0,5.94,6.0,3.65,3209,7
226,0.67,2,5,59.8,60.3,5.62,5.69,3.38,2479,5
227,0.31,4,3,61.0,61.0,4.39,4.33,2.66,558,3
228,1.22,5,3,61.9,55.0,6.82,6.87,4.24,7870,3
229,1.5,2,2,59.8,61.0,7.39,7.49,4.45,6798,3
230,0.9,5,2,62.5,56.0,6.15,6.2,3.86,3521,4
231,0.38,5,4,62.2,54.0,4.64,4.66,2.89,870,5
232,1.01,5,5,61.8,57.0,6.45,6.4,3.97,6618,4
233,0.3,5,6,61.7,56.0,4.32,4.34,2.67,694,5
234,0.71,2,2,58.8,63.0,5.75,5.88,3.42,2120,6
235,1.21,4,8,62.2,58.0,6.83,6.8,4.24,8446,3
236,1.0,5,4,62.6,57.0,6.4,6.35,3.99,6804,5
237,0.9,3,2,60.3,63.0,6.12,6.22,3.72,3534,7
238,0.91,3,5,63.4,56.0,6.18,6.12,3.9,4224,3
239,0.41,5,6,62.5,57.0,4.75,4.72,2.96,1181,7
240,0.39,5,3,61.1,55.0,4.74,4.75,2.9,628,6
241,1.28,4,2,60.2,58.0,7.13,7.03,4.26,6093,3
242,0.32,3,4,60.9,58.0,4.42,4.45,2.7,564,4
243,0.25,2,6,57.5,61.0,4.16,4.19,2.4,548,7
244,1.01,3,7,61.8,59.0,6.47,6.41,3.98,8373,4
245,0.31,5,3,61.5,55.0,4.39,4.42,2.71,464,3
246,0.9,5,2,62.6,57.0,6.13,6.2,3.86,3808,6
247,0.71,5,3,62.2,55.0,5.7,5.75,3.56,2376,1
248,0.44,2,4,59.0,64.0,5.01,4.94,2.93,1001,6
249,0.33,4,6,62.1,56.0,4.45,4.41,2.75,743,1
250,0.56,5,8,62.0,56.0,5.3,5.32,3.29,2442,4
251,0.24,3,6,60.0,57.0,4.07,4.1,2.45,552,6
252,0.36,3,3,60.7,54.0,4.64,4.67,2.83,641,5
253,0.41,5,4,62.8,55.0,4.73,4.7,2.96,1076,7
254,0.31,5,8,62.2,55.0,4.35,4.38,2.71,921,5
255,0.52,3,5,62.3,58.0,5.14,5.17,3.21,1629,4
256,0.43,5,3,61.6,56.0,4.86,4.82,2.98,1036,7
257,1.53,4,5,61.0,60.0,7.43,7.4,4.52,14344,4
258,0.41,5,8,59.2,57.0,4.78,4.81,2.93,953,1
259,0.59,5,4,61.4,58.0,5.38,5.4,3.31,1657,6
260,0.4,3,3,63.1,58.0,4.69,4.66,2.95,882,5
261,0.71,4,4,58.7,61.0,5.88,5.85,3.44,2968,7
262,1.09,5,6,62.5,55.0,6.6,6.52,4.1,9845,5
263,2.11,4,2,62.2,60.0,8.19,8.15,5.08,16336,4
264,0.34,5,7,60.5,55.0,4.53,4.56,2.75,844,4
265,0.71,3,2,62.2,58.0,5.68,5.73,3.55,2313,6
266,0.43,5,4,62.0,55.0,4.86,4.81,3.0,1129,7
267,0.38,5,3,61.2,56.0,4.68,4.63,2.85,834,3
268,1.17,3,3,63.3,61.0,6.65,6.59,4.19,5025,4
269,1.22,5,4,62.0,55.0,6.83,6.91,4.26,7923,4
270,0.5,5,7,62.2,54.0,5.1,5.13,3.18,1883,4
271,0.55,5,6,61.5,57.0,5.24,5.27,3.23,2294,5
272,0.41,5,6,62.0,56.0,4.74,4.78,2.95,899,3
273,0.82,4,2,62.3,58.0,5.96,5.98,3.72,2456,4
274,0.39,5,4,62.5,54.0,4.67,4.7,2.93,857,4
275,0.53,3,4,60.9,59.0,5.2,5.27,3.19,1023,2
276,0.51,3,6,61.7,58.0,5.13,5.18,3.18,1875,4
277,0.23,3,5,59.8,57.0,4.04,4.06,2.42,402,5
278,0.36,4,4,61.3,60.0,4.59,4.54,2.8,1013,6
279,0.46,2,4,63.2,56.0,4.89,4.92,3.1,1205,7
280,0.7,2,7,62.7,56.0,5.6,5.66,3.53,2877,3
281,2.11,4,2,62.4,61.0,8.19,8.1,5.08,18034,6
282,0.7,4,3,59.7,60.0,5.81,5.79,3.46,2394,6
283,2.43,5,2,62.3,59.0,8.54,8.61,5.34,17856,1
284,0.3,5,4,61.3,57.0,4.33,4.29,2.64,844,6
285,0.51,3,5,62.7,56.0,5.08,5.13,3.2,1656,4
286,1.03,4,3,61.1,61.0,6.49,6.44,3.95,3749,2
287,0.7,3,6,58.7,63.0,5.82,5.79,3.41,3234,5
288,0.41,4,5,59.9,58.0,4.83,4.88,2.91,1079,6
289,0.72,5,3,61.8,57.0,5.68,5.74,3.53,2440,5
290,0.77,2,3,63.0,65.0,5.82,5.74,3.64,2393,3
291,0.35,5,5,60.9,57.0,4.59,4.54,2.78,709,1
292,0.38,5,5,62.5,56.0,4.64,4.67,2.91,1067,7
293,0.31,4,5,62.1,58.0,4.31,4.35,2.69,625,4
294,0.54,5,6,61.0,56.0,5.25,5.3,3.22,1985,4
295,0.32,5,6,61.6,55.0,4.4,4.43,2.72,708,4
296,0.4,5,3,61.8,55.0,4.74,4.78,2.94,772,7
297,0.35,5,6,62.1,56.0,4.52,4.56,2.82,745,5
298,0.31,3,3,63.2,59.0,4.33,4.28,2.72,698,6
299,1.65,5,3,62.5,56.0,7.59,7.54,4.73,8334,2
300,1.69,5,3,63.0,57.0,7.62,7.55,4.78,13872,5
301,0.33,5,5,61.1,56.0,4.45,4.48,2.73,850,6
302,0.52,3,5,59.1,58.0,5.31,5.38,3.16,1875,6
303,0.35,3,2,63.2,61.0,4.49,4.47,2.83,551,3
304,0.42,3,5,60.9,58.0,4.84,4.88,2.96,910,5
305,0.7,2,3,64.1,56.0,5.63,5.6,3.6,2289,5
306,0.9,3,4,63.4,57.0,6.07,6.1,3.86,3489,1
307,0.71,3,2,60.9,55.0,5.76,5.87,3.54,1986,2
308,0.84,2,5,63.6,57.0,5.98,5.93,3.79,3316,4
309,0.54,4,3,62.6,57.0,5.21,5.12,3.23,1650,7
310,0.7,5,2,59.9,57.0,5.77,5.74,3.45,2142,3
311,0.57,5,7,62.5,56.0,5.27,5.32,3.31,2682,5
312,0.56,5,4,62.1,54.0,5.3,5.33,3.3,1237,1
313,0.71,4,5,62.2,58.0,5.71,5.67,3.57,2879,5
314,0.59,5,4,62.2,59.0,5.38,5.34,3.33,1648,3
315,0.41,5,2,61.3,56.0,4.78,4.81,2.94,605,4
316,1.04,5,8,61.8,57.0,6.49,6.52,4.02,14494,7
317,0.38,4,4,60.9,56.0,4.72,4.67,2.86,1026,5
318,0.9,3,3,62.5,59.0,6.11,6.15,3.83,4579,7
319,0.73,5,4,62.4,57.0,5.75,5.79,3.6,3201,6
320,0.3,2,3,63.4,60.0,4.23,4.25,2.69,432,3
321,0.71,5,6,61.6,56.0,5.69,5.77,3.53,4222,7
322,0.7,2,4,63.8,60.0,5.59,5.51,3.54,2083,3
323,0.32,5,8,62.2,56.0,4.37,4.41,2.73,533,2
324,1.74,5,2,64.5,56.0,7.56,7.54,4.87,12361,7
325,0.57,5,4,61.8,56.0,5.31,5.34,3.29,1998,7
326,1.11,4,2,62.5,58.0,6.63,6.61,4.14,4664,6
327,0.34,4,4,60.3,58.0,4.49,4.53,2.72,596,4
328,0.8,3,5,62.4,54.0,5.98,5.94,3.72,4495,6
329,1.83,4,3,62.9,55.0,7.9,7.78,4.93,11883,1
330,0.9,4,1,61.3,59.0,6.2,6.15,3.78,1777,4
331,0.7,5,4,62.4,58.0,5.67,5.71,3.55,2429,3
332,0.32,5,6,61.3,55.0,4.41,4.43,2.71,1010,6
333,1.51,4,3,61.6,59.0,7.32,7.3,4.5,10739,4
334,1.5,1,4,64.4,56.0,7.16,7.09,4.59,12787,4
335,0.23,3,7,61.8,59.0,3.9,3.93,2.42,530,6
336,1.52,4,2,60.6,62.0,7.42,7.37,4.48,9561,7
337,1.25,4,2,61.5,57.0,7.0,6.93,4.28,4690,2
338,0.52,3,4,63.9,57.0,5.08,5.12,3.26,1550,5
339,1.02,4,2,62.9,59.0,6.4,6.38,4.02,4370,4
340,1.16,4,5,61.9,58.0,6.76,6.72,4.17,8107,4
341,0.42,4,4,61.3,58.0,4.8,4.83,2.95,825,7
342,0.42,5,3,61.5,56.0,4.85,4.81,2.97,1040,7
343,2.01,3,3,63.5,57.0,7.96,7.88,5.03,14725,3
344,0.51,3,5,65.2,54.7,5.12,5.15,31.8,1970,6
345,1.15,5,1,62.0,55.0,6.76,6.69,4.17,3606,3
346,0.7,5,5,60.6,57.0,5.73,5.79,3.5,3384,4
347,0.42,5,4,61.6,56.0,4.82,4.83,2.97,847,4
348,1.5,4,3,62.4,58.0,7.33,7.28,4.56,9697,3
349,0.44,2,5,63.1,57.0,4.83,4.87,3.06,694,2
350,1.7,4,4,61.7,59.0,7.63,7.68,4.72,11257,1
351,0.96,1,2,65.2,58.0,6.14,6.12,3.99,3688,5
352,1.02,3,4,62.5,56.0,6.42,6.45,4.02,5217,3
353,0.7,3,3,61.7,62.0,5.64,5.68,3.49,2569,6
354,1.01,2,3,60.7,59.0,6.35,6.4,3.87,4672,4
355,0.6,4,3,62.9,58.0,5.39,5.33,3.37,1799,7
356,0.9,3,4,61.5,60.0,6.13,6.16,3.78,4386,4
357,1.13,3,3,62.7,57.0,6.62,6.65,4.16,4922,6
358,0.91,4,4,60.6,58.0,6.3,6.25,3.8,4293,3
359,0.31,5,8,61.9,56.0,4.35,4.37,2.7,1060,6
360,1.02,3,2,58.7,63.0,6.49,6.46,3.8,3875,5
361,1.51,3,2,62.8,59.0,7.24,7.31,4.57,9058,6
362,1.06,3,1,60.7,63.0,6.59,6.56,3.99,2080,4
363,1.51,4,3,62.2,59.0,7.34,7.29,4.55,10122,7
364,1.24,5,3,61.1,60.0,6.94,6.91,4.23,5976,1
365,0.73,5,4,62.5,56.0,5.78,5.74,3.6,2586,4
366,0.41,5,4,61.7,56.0,4.81,4.78,2.96,1076,7
367,0.29,3,4,61.7,55.0,4.25,4.27,2.66,384,1
368,0.53,5,2,61.9,54.0,5.2,5.23,3.23,856,2
369,1.5,4,2,61.5,60.0,7.29,7.22,4.46,7182,6
370,0.3,2,8,60.0,63.0,4.3,4.36,2.6,742,5
371,0.32,5,4,62.3,54.0,4.4,4.37,2.73,900,6
372,0.81,4,2,60.0,59.0,6.03,5.97,3.62,2344,3
373,0.27,4,7,60.6,58.0,4.2,4.18,2.54,799,6
374,1.39,5,4,60.9,57.0,7.2,7.25,4.4,6831,2
375,0.33,3,6,61.6,57.0,4.44,4.46,2.74,801,5
376,0.32,5,5,62.4,54.0,4.38,4.4,2.74,523,1
377,0.9,5,2,61.8,56.0,6.18,6.21,3.83,4593,5
378,0.31,2,4,63.1,58.0,4.3,4.35,2.73,544,4
379,0.4,4,5,60.1,58.0,4.76,4.72,2.85,1125,6
380,0.32,3,7,61.2,57.0,4.39,4.42,2.69,672,3
381,1.22,5,7,61.2,57.0,6.88,6.92,4.22,13029,5
382,0.38,5,6,62.0,57.0,4.64,4.69,2.89,1030,6
383,0.71,3,6,62.3,60.0,5.65,5.71,3.54,3799,7
384,0.71,3,2,63.2,59.0,5.6,5.64,3.55,2107,4
385,1.05,3,3,61.6,57.0,6.51,6.54,4.02,5197,4
386,1.04,5,3,61.3,56.0,6.55,6.5,4.0,5882,5
387,0.71,5,5,61.1,57.0,5.76,5.82,3.54,3013,5
388,0.42,5,3,62.1,55.0,4.81,4.79,2.98,953,6
389,0.44,5,5,61.1,56.0,4.95,4.91,3.01,1294,7
390,0.41,3,3,63.4,58.0,4.75,4.68,2.99,852,5
391,0.5,5,5,61.1,56.0,5.1,5.14,3.13,1637,3
392,0.58,5,4,61.8,57.0,5.32,5.36,3.3,1903,6
393,0.3,5,6,61.8,56.0,4.35,4.33,2.68,1013,6
394,1.18,3,4,62.7,54.7,6.74,6.77,4.23,8411,4
395,0.91,5,3,62.0,56.0,6.19,6.22,3.85,4337,3
396,1.2,5,7,61.1,55.0,6.86,6.89,4.2,13088,5
397,0.33,4,2,62.3,58.0,4.43,4.4,2.75,557,5
398,0.34,5,7,61.7,55.0,4.51,4.5,2.78,959,5
399,0.32,4,4,62.3,58.0,4.41,4.36,2.73,720,4
400,0.38,3,2,62.5,61.0,4.59,4.63,2.88,590,6
